index,tag,depth,id,classes,attrs,inner_text_len
55,link,3,,,"{""rel"": ""stylesheet"", ""href"": ""https://assets.pokemon.com/static2/_ui/css/homepage.css""}",0
56,body,2,,us fluid custom-form-elements,{},2863
57,div,3,,main-filler,{},0
58,nav,3,,main,{},6
59,div,4,,blocker,{},0
60,div,4,,content-wrapper,{},6
61,div,5,,nav-bar,"{""style"": ""display: none;""}",6
62,a,6,,nav-toggle,"{""href"": ""#""}",0
63,span,7,,icon icon_hamburger,{},0
64,ul,6,,dashboard-open visible-mobile,{},6
65,li,7,,visible-signed-in,{},0
66,a,8,,,"{""href"": ""https://trainer.pokemon.com/profile""}",0
67,div,9,,avatar-icon-wrapper,{},0
68,img,10,,avatar-icon avatar-icon-mobile,"{""src"": ""https://assets.pokemon.com/static2/_ui/img/chrome/profile-navigation/profile-nav-avatar.png"", ""alt"": ""View Profile""}",0
69,li,7,,visible-not-signed-in,{},6
70,a,8,,,"{""href"": ""https://trainer.pokemon.com/profile""}",6
71,div,9,,avatar-icon-wrapper,{},0
72,img,10,,avatar-icon avatar-icon-mobile,"{""src"": ""https://assets.pokemon.com/static2/_ui/img/chrome/profile-navigation/profile-nav-signup.png"", ""alt"": ""Log In / Sign Up""}",0
73,div,9,,sign-in-text-wrapper sign-in-text-wrapper-mobile,{},6
74,div,3,,container,{},1984
75,section,4,,mosaic section,"{""data-tile-template"": ""MosaicDefault""}",282
76,script,5,,,{},43
77,div,5,,column-8 push-1,"{""data-tile-position"": ""Main""}",180
78,a,6,,,"{""href"": ""/us/news/dive-into-pokemon-pokopia-expansion-pass-part-1-bubbly-basin""}",104
79,div,7,,content-block content-block-full content-hero content-rating,{},104
80,div,8,,content-hero-wrapper,{},104
81,div,9,,tile-image-wrapper,{},0
82,img,10,,breakpoint rating-image,"{""src"": ""/static-assets/content-assets/cms2/img/video-games/_tiles/pokemon-pokopia/2026/07/29/a/pokemon-pokopia-169-en.png"", ""data-maxwidth720px"": ""/static-assets/content-assets/cms2/img/video-games/_tiles/pokemon-pokopia/2026/07/29/a/pokemon-pokopia-169-en.png"", ""data-minwidth721px"": ""/static-assets/content-assets/cms2/img/video-games/_tiles/pokemon-pokopia/2026/07/29/a/pokemon-pokopia-169-en.png"", ""alt"": ""Dive into Pokémon Pokopia Expansion Pass—Part 1: Bubbly Basin""}",0
83,div,9,,banner banner banner-lightblue,{},104
84,h3,10,,,{},58
85,em,11,,,{},15
86,em,11,,,{},12
87,p,10,,,{},46
88,em,11,,,{},15
89,div,10,,rating-logo wrapper,"{""data-href"": ""https://www.esrb.org/""}",0
90,img,11,,PEGI,"{""src"": ""/static-assets/content-assets/cms2/img/video-games/rating-logos/e_65x80_everyone_todos.png"", ""alt"": ""E""}",0
91,a,6,,,"{""href"": ""/us/news/pokecology-an-illustrated-guide-to-pokemon-ecology-is-available-now""}",35
92,div,7,,content-block content-block-half-first,{},35
93,div,8,,tile-image-wrapper,{},0
94,img,9,,breakpoint rating-image,"{""src"": ""/static-assets/content-assets/cms2/img/misc/_tiles/2025/pokecology/pokecology-169.png"", ""data-maxwidth720px"": ""/static-assets/content-assets/cms2/img/misc/_tiles/2025/pokecology/pokecology-169.png"", ""data-minwidth721px"": ""/static-assets/content-assets/cms2/img/misc/_tiles/2025/pokecology/pokecology-169.png"", ""alt"": ""Begin Your Pokécology Education Today""}",0
95,div,8,,banner banner banner-orange,{},35
96,h3,9,,,{},35
97,em,10,,,{},10
98,a,6,,,"{""href"": ""/us/features/champions-spotlight-yoshiyuki-yamaguchi-shines-abroad""}",41
99,div,7,,content-block content-block-half,{},41
100,div,8,,tile-image-wrapper,{},0
101,img,9,,breakpoint rating-image,"{""src"": ""/static-assets/content-assets/cms2/img/attend-events/_tiles/champions-spotlight/2026/yoshiyuki-yamaguchi/champions-spotlight-169.png"", ""data-maxwidth720px"": ""/static-assets/content-assets/cms2/img/attend-events/_tiles/champions-spotlight/2026/yoshiyuki-yamaguchi/champions-spotlight-169.png"", ""data-minwidth721px"": ""/static-assets/content-assets/cms2/img/attend-events/_tiles/champions-spotlight/2026/yoshiyuki-yamaguchi/champions-spotlight-169.png"", ""alt"": ""Champion’s Spotlight: Yoshiyuki Yamaguchi""}",0
102,div,8,,banner banner banner-blue,{},41
103,h3,9,,,{},41
104,div,5,,column-4 push-9,"{""data-tile-position"": ""Right_""}",102
105,a,6,,,"{""href"": ""/us/news/fetch-scales-for-feebas-in-pokemon-pokopia""}",29
106,div,7,,content-block content-block-full,{},29
107,div,8,,tile-image-wrapper,{},0
108,img,9,,breakpoint rating-image,"{""src"": ""/static-assets/content-assets/cms2/img/video-games/_tiles/pokemon-pokopia/2026/07/29/b/pokemon-pokopia-169.png"", ""data-maxwidth720px"": ""/static-assets/content-assets/cms2/img/video-games/_tiles/pokemon-pokopia/2026/07/29/b/pokemon-pokopia-169.png"", ""data-minwidth721px"": ""/static-assets/content-assets/cms2/img/video-games/_tiles/pokemon-pokopia/2026/07/29/b/pokemon-pokopia-169.png"", ""alt"": ""Meet Feebas in Pokémon Pokopia""}",0
109,div,8,,banner banner banner-lightbrown,{},29
110,h3,9,,,{},29
111,em,10,,,{},15
112,a,6,,,"{""href"": ""/us/features/art-of-the-mega-evolution-pitch-black-expansion""}",36
113,div,7,,content-block content-block-full,{},36
114,div,8,,banner banner-right banner-black,{},36
115,div,9,,tile-image-wrapper,{},0
116,img,10,,breakpoint rating-image,"{""src"": ""/static-assets/content-assets/cms2/img/trading-card-game/_tiles/me/me05/art-highlights/me05-34-en.png"", ""data-maxwidth720px"": ""/static-assets/content-assets/cms2/img/trading-card-game/_tiles/me/me05/art-highlights/me05-34-en.png"", ""data-minwidth721px"": ""/static-assets/content-assets/cms2/img/trading-card-game/_tiles/me/me05/art-highlights/me05-34-en.png"", ""alt"": ""The Art of Mega Evolution—Pitch Black""}",0
117,div,9,,banner-wrapper,{},36
118,h3,10,,,{},36
119,em,11,,,{},26
120,a,6,,,"{""href"": ""/us/news/soar-with-flying-high-plush-coming-soon-to-pokemon-center""}",37
121,div,7,,content-block content-block-full,{},37
122,div,8,,tile-image-wrapper,{},0
123,img,9,,breakpoint rating-image,"{""src"": ""/static-assets/content-assets/cms2/img/misc/_tiles/pokemon-center/2026/07/28/pokemon-center-169.png"", ""data-maxwidth720px"": ""/static-assets/content-assets/cms2/img/misc/_tiles/pokemon-center/2026/07/28/pokemon-center-169.png"", ""data-minwidth721px"": ""/static-assets/content-assets/cms2/img/misc/_tiles/pokemon-center/2026/07/28/pokemon-center-169.png"", ""alt"": ""Take to the Skies with Pokémon Center""}",0
124,div,8,,banner banner banner-green,{},37
125,h3,9,,,{},37
126,div,5,,loader,{},0
127,section,4,pokemon-character-slider,slider-widget preload-images,{},683
128,div,5,,slider-title,{},16
129,div,6,,column-12 push-1,{},16
130,h3,7,,pokemon-character-slider-title,{},16
131,span,8,,notch-left-top-outer,{},0
132,span,8,,icon icon_pokeball,{},0
133,div,5,,slider-wrapper,{},647
134,ul,6,,slider,{},647
